"An 0"	"An 30"	"An 60"	"An 120"	"O2 0"	"O2 1"	"O2 5"	"O2 10"	"O2 15"	"O2 30"	"O2 45"	"O2 60"	"O2 120"
"ATP"	0	0.562613989802894	0.242957640318389	0.392903235549917	0	0.375358229956393	0.17613792245737	0.368379929039316	0.258848412045773	0.247274929739526	0.259612902729066	0.240128882282558	0.237847094386223
"Bisphospho-glycerate"	0	0.184948857222412	0.213559871187672	0.288954365947103	0	0.339507502877332	0.168163644723874	0.229508481151238	0.215125595517305	0.183248123491223	0.177720955210169	0.204550477758218	0.174883780796575
"CDP-MEP"	0	0.703909040101518	0.447423981258196	0.9382078119588	0	0.561912617962182	0.251394295545156	0.409654779308268	0.231820441872179	0.182185193570076	0.141413730737054	0.29743202836882	0.21942047415623
"Citrate"	0	0.263891618051166	0.206426694028526	0.231431040717066	0	0.130701255426117	0.147792742586659	0.0805744703468921	0.0715401487787242	0.132237540181459	0.138747355299839	0.145197876487263	0.204814373644543
"Citrulline"	0	0.194175022323647	0.0933783477741662	0.174069854152833	0	0.136391025924866	0.123118740560058	0.105097397345577	0.131819028677562	0.126394673795362	0.124924329719284	0.171679740589692	0.106673677248861
"cMEPP"	0	0.142889780067192	0.13545093033207	0.145173378223087	0	0.176169390860455	0.575091002803289	0.290649881817345	0.123350957229116	0.30986931816084	0.272566507684568	0.162307115705905	0.109824115534187
"CMP"	0	0.16980782429522	0.108985304942557	0.196430089348451	0	0.304165315618572	0.0824116309466144	0.20860725811707	0.10816175323715	0.137351522912548	0.145559721506441	0.146570983049918	0.186634029226202
"CTP"	0	0.812854616401115	0.348006059546558	0.544716768882995	0	0.455223965152313	0.24923319724843	0.507701384204814	0.382645241781804	0.36830267388727	0.367490093896432	0.315236099899542	0.353056927927138
"dCTP"	0	0.52486827626267	0.202420037556792	0.433956390030168	0	0.407762749038382	0.215122254451379	0.458891543559964	0.337425574951002	0.319020219692024	0.338484645470133	0.257950136636934	0.349922092243938
"Dihydroorotate"	0	0.187051471350814	0.202624628958666	0.220979815250482	0	0.412856755081613	0.18103582595401	0.136656699754472	0.203667504110658	0.195515582822231	0.302020929059431	0.243540498322922	0.241747891320213
"dTTP"	0	0.426234311017306	0.154898443315322	0.314937453749305	0	0.368247409600194	0.141731469315733	0.314287934740432	0.161477801745302	0.174394778912325	0.199474062318976	0.197865932571123	0.240249664828072
"DXP"	0	0.121081518787339	0.111245910315275	0.19064658709708	0	0.200525653938149	0.0950211823650274	0.113765495383724	0.085716900647995	0.0952173541122844	0.0869495452010899	0.085963285222793	0.117984021202552
"Fructose 6-phosphate"	0	0.158753803493829	0.095643843473034	0.16468597905482	0	0.142011189555179	0.126618327843533	0.0954354907240893	0.0801117936084722	0.0866972457029078	0.106678251610165	0.141860349274183	0.146953575411536
