2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
3-Dehydroshikimate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1587310.88	1734054	1273954.12	1749384.62	876787.5	1158969.38	1051729.38	1558882.12	3043354	1085382.75	2752577	1537673.62	1478721.38	1865220.5	1508691	2109418	2245531.5	3037899.25	1550372.5	1024917.75	941337	1112014.12	1952687.62	1787529.12	2067058	3688975.75	3583857.25	959683.81	1306048.38	2147940.75	4767436.5	2472303	2004178.5	2296233.75	2919555.75
C13-label-1	119486.57	138332.81	97753.38	149098.92	57661.91	85307.84	70126.9	119378.07	235531.77	74507.68	224830.83	115723.34	108044.91	131141.84	114345.77	154538.33	183691.17	232310.06	113345.52	71520.3	69759.84	75134.7	144343.11	134498.47	166709.62	308698.41	287769	74923.31	100237.12	152126.27	335130.78	184663.36	150523.69	177995.45	218329.36
C13-label-4	1606.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-5	0	0	0	0	0	0	0	0	0	2195.22	0	0	0	0	0	2193.9	3116.89	0	0	0	0	4342.36	2634.08	2060.57	2309.19	0	0	0	0	0	0	0	0	1926.08	0
C13-label-6	36223.48	27410.43	31662.92	30786.39	13123.25	9200.89	16478.55	31442.8	28609.83	10055.97	18753.21	11946.65	16860.56	10134.96	32132.79	29566.88	30754.65	30090.34	11876.43	13008.48	13887.78	16194.6	33383.07	26347.43	31852.3	37781.12	25832.69	12826.03	12848.57	22358.34	29142.95	30585.04	15134.85	26779.48	10808.66
C13-label-7	322516.38	237979.33	269670.12	272357.56	163107.52	180566.44	172336.64	317051.25	323751.03	188004.44	258720.38	179370.75	177486.11	154859.89	315392.78	327695.5	322663.47	310233.59	175408.2	181713.62	168971.05	165994.19	338278.53	325451.34	339115.22	294213.66	306645.59	174287.31	185695.86	219488.92	288404.5	328508.41	197916.27	195433.77	155618.11
																																			
3-Phospho-Glycerate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	11349579	4316576	8106642	8273596	7554384.5	13474917	14193317	24419312	18821406	5903011.5	14562097	13362457	13703581	15036857	20675762	23947672	22508902	28901254	12690255	14079259	21425666	13987496	15058439	14740403	26143206	28665616	21500614	13773819	23871042	23068654	35167172	17689956	19882754	24436362	25716462
