2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
Aconitate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	9009824	3031305.25	3359787.75	4488131	3825032.25	5035394.5	4690555.5	4622795.5	6657372	4152986.75	6464746	5513657.5	5415518.5	6255360	4234384.5	5369468.5	5563589.5	9512168	5127282	3801108.25	3915220.75	3624313.25	4152184	3540698.25	4012379	7471152	9354570	3914883.25	4975567.5	5540737.5	14039753	6289104.5	7327889.5	9518820	22143426
C13-label-1	554797.5	196634.52	224962.38	294033.34	231932.31	313065.84	318527.69	293839.28	431630.28	261478.39	424108.5	335912.72	323461.16	404431.41	288915.91	359707.41	398638.84	642255.69	335954.5	242248.3	236702.3	232624.44	269565.41	235929.83	288751.84	450156.12	617863.5	276417.75	324484.34	378477.25	901314.69	414032.03	429467.66	661737.69	1493140.5
C13-label-2	0	0	0	0	6524.51	6608.24	0	6378.79	0	0	5644.99	0	0	5328.58	0	0	0	0	0	0	0	0	0	5187.17	0	0	7648.24	7436.66	0	0	0	0	8402.66	0	9072.73
C13-label-3	9710.64	5621.26	12795.42	6357.26	5416.09	8937.71	23957.73	9428.4	10808.28	22386.53	14502.19	8135.02	9402.72	20447.28	10463.19	20234.78	14607.82	26369.35	18490.83	7880.92	27797.69	23636.25	25087.85	18887.94	25839.77	14352.2	15628.09	38733.84	24708.02	29032.13	8309.19	19179.59	7257.59	8787.33	18905.26
C13-label-4	167188.83	78606.1	122423	139615.55	112767.5	163647.86	172372.75	197760.42	171570.48	152265.05	154153.08	169698.52	179844.38	165420.42	189153.62	174665.33	213417.33	168551.33	174724.75	218501.62	194916.02	224608.17	193594.45	190362.05	184130.27	177061	203648.95	269005.88	212289.2	200623.7	183219.25	201934.45	230513.89	208941.08	154977.67
C13-label-5	1146498.38	635663.25	921533.31	1048837.38	1105525.12	1319096	1370043.12	1396555.5	1449658.5	1246783.38	1325685.38	1372764.62	1376261.62	1324963.5	1514277.38	1464147.38	1547765.38	1479535.88	1416822.5	1582196.88	1533695	1500488.38	1566260.12	1429888.62	1399109.5	1573150.88	1549014.62	1694932.38	1735294.62	1524532	1370651.38	1809120.12	1744668.38	1595278.38	1433815
C13-label-6	3565901	1942621.38	2887102.75	3391619.25	3472849.75	4047366	4148158.25	4449974	4564108.5	4024108.75	4042208.75	4523010	4502570.5	4403506.5	4881896.5	4698067	5048991	4788560	4666748.5	4968587	4810326	4807936	4930682	4511134.5	4709880.5	4761788.5	4812125.5	5419674	5411875	4749235.5	4372782	5443358.5	5426118	5334957.5	4095653
																																			
ADP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	4643798.5	716722.25	1194951.62	1867914.62	919783.81	1672050.12	1303087.38	1785719	1443581	1952253.38	1295675.62	1379882.25	1405468	1141664.88	1385562.88	2413628.5	2543373	3852943	4018828.75	838739.81	1730728.38	3572777.25	816974.19	646874.06	2172992.75	1913331	1381001	2466012	5695889.5	4517003.5	11730739	7817878.5	2473067.75	12785677	4620511.5
C13-label-1	466839.25	82926.66	146229.95	203055.89	73074.91	180339.95	145957.31	186100.45	142283.55	195481.08	124421.6	132489.42	186460.39	122747.68	149980.67	262054.2	279631.34	327365.75	390450.72	99270.48	179904.45	345880.72	81607.28	86369.51	264603.47	230584.44	133192.83	272990.5	577043.69	452628.16	1365324.62	885055.69	308049.34	1401398	506085.84
C13-label-2	110480.48	6740.21	16087.3	32458.56	16937.27	39859.28	40792.98	21298.88	22746.87	48150.58	27880.3	27745.23	13642.75	10839.75	21143.38	67590.02	51477.32	86954.45	91259.76	8812.52	33901.65	54512.92	0	6994.22	46653.39	36971.17	27167.95	57412.19	141961.3	86043.43	258269.5	200947.88	74194.51	316039.19	139679.67
C13-label-3	8550.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7542.87	0	0	0	0	0	0	6556.42	18153.95	18689.35	0	0	7961.79	9709.71
C13-label-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7839.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9439.42	0	0	0	0	0	0	0	0
C13-label-7	0	0	5822.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7358.44	0	0	9955.63	0	6108.97	6508.07	0	0	10464.31	16196.81	7116.49	0
C13-label-8	45326.32	5709.68	25147.54	41807.33	20354.6	19861.47	43842.89	38773.27	52716.61	40815.98	31139.76	51829.12	34687.3	34000.59	40251.41	88514.94	67556.16	49496.98	51944.31	49889.82	71481.99	71061.5	71650.63	56890.8	63120.89	59466.09	44144.78	52888.52	80956.66	51397.92	48382.34	206322.08	52486.28	62179.73	72966.37
C13-label-9	374924.41	144847.89	229925.61	291658.19	209534.42	298634.88	304479.97	308346.59	335143.03	295350.88	341687.62	348566	364228.84	336706.03	392225	546566.94	445536.28	491090.41	440534.84	471362.84	438969.25	501369	441447.41	381147	509241.25	519669.03	489758.72	550670.19	544183.75	449567.59	542479.38	1479130.12	572076.56	702309.81	587878.94
C13-label-10	827008.81	287768.47	447526.5	578162.12	481109.66	749663	748097.75	754894.94	860323.19	834707.81	729861.69	811309.69	791368.81	868826.5	1009863.31	1163161.12	1068855.62	1227659.12	1026010.94	1058261.62	1103513	1193261.5	1141032.38	796694.19	1264254.12	1276867.5	1077080.62	1149060	1475239.88	1017857.19	1248137	3465261	1336814	1524189.62	1365296.38
																																			
Alanine	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	454764	139265.06	117837.9	75704.73	64859.2	95494.59	100374.48	134947.95	184409.95	144279.05	197047.81	72528.42	133944.34	123422.37	190144.44	295003.22	122078.32	308575.38	107535.71	228622.12	152160.44	116749.66	178878.44	191788.42	212859.48	140433.27	208943.14	218200.14	113497.22	141660.27	396812.88	240153.33	172225.64	348137.97	280909.91
C13-label-1	0	0	0	0	13605.85	0	14866.43	0	23879.42	0	0	0	0	0	18789.69	8156.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-2	0	0	0	7674.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25785.12	0	0	0	0	0	0	29777.87	21602.03	0	0	0
C13-label-3	602281	416494.16	472140.16	454298.84	236968.33	379160.34	627498.88	692205.81	485070.25	505517.72	514124.53	277972.41	492380.38	347991.16	687537.25	720126.25	229398.55	546849.31	414699.22	640905.56	557825.69	432000.62	705366.31	415861.16	614303.38	361410.88	559881.12	755689	512430.09	579740.94	471952.5	583159.44	323155.16	619529.06	602852.44
																																			
alpha-ketoglutarate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	867430.31	1144125.25	1503662.5	1655019	1471767.38	2009744.62	2120212.5	1892349.38	3288384.75	929784	2081238.5	2446637	2539931.25	3242614.75	2052408.88	2748869.5	2858105.25	4191075	1136390.62	1584778.12	1476763.38	1411727.62	1974085	1973765.5	2216721.75	4532688	4291483.5	1028978.25	1031583.31	1076069.75	1442756	663536	1137759.38	1265221.5	1676531.88
C13-label-1	37395.27	57409.18	81188.89	71531.26	76307.2	96600.84	98443.49	100930.38	179472.86	34501.67	100705.34	142906.73	154187.64	169375.14	116595.56	147125.11	164749.64	216065.61	74002.87	95807.34	77909.7	96983.15	96941.71	102573.72	134306.58	250144.08	219718	55151.91	58767.66	58029.29	89011.3	15559.7	53554.18	48690.71	87908.37
C13-label-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-3	52491.08	38977.89	39616.84	55251	43018.38	64017.92	58401.9	71687.69	61682.69	70625.6	40621.94	86850.26	54747.89	29732.48	69294.77	46319.35	93193.69	78334.2	74726.57	77675.38	83087.28	54295.48	70563.45	55264.46	57963.36	63065.75	44471.17	77324.02	65589.07	71250.79	41527.86	129258.25	75869.04	79212.47	28051.9
C13-label-4	365397.91	385576.28	436806.62	425297.97	449331.16	488214.25	513522.84	508496.34	498566.59	434706.75	471575.41	514655.72	508508.75	515849.62	515328.88	484431.75	457080.09	430911.38	470142.41	534058.31	596041.69	531365.56	505047.62	467280.84	521609.59	477926.22	501069.97	603816.31	547080.06	462836	441183.53	814740.19	510217.84	511629.72	455399.97
C13-label-5	2916488.25	2939880	3689863.25	3382987.25	3402613	3538521.25	3761065.25	3969650.25	3427130.75	3595997.75	3353401.75	4173114	3734876.75	3715829.25	3918177.25	3944577.75	3819593.25	3549972.75	3771714.75	3879656	4198021.5	3991154	4010152.75	3629917.25	3899548	3703087	3639074	4154144.25	3981602	3697083	3422657.25	6130254.5	3784522.25	3817251.75	3401853.25
																																			
AMP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	953619.81	122588.84	199214.81	240750.62	143115.19	281996.56	214302.75	368003.97	358652.25	443011.75	241634.7	246618.25	249665.11	264020.34	275084.62	424703.88	383489.16	612288.75	738666.94	198395.61	331072.75	715503	222890.75	174389.64	433616.53	428537.25	326182.91	546018.94	1035731.06	863511.19	1748878.62	2686682	515451.16	1508613.12	795256.44
C13-label-1	82845.59	4460.9	7576.65	25125.78	8796.29	19718.66	18392.26	35244.55	35749.8	46076.11	30635.75	24793.7	0	22477	15659.13	33923.26	49210.29	66503.4	77281.99	15066.43	20026.8	76181.61	18155.86	12028.14	53998.74	23601.59	36290.07	62229.96	101565.04	85657.38	192752.3	271549.09	0	163459.62	87865.51
C13-label-2	11210.33	0	0	0	3753.91	0	0	0	4402.83	0	0	4578.21	0	4032.19	0	3501.33	0	4486.59	10258.45	0	7747.3	13785.37	0	0	7579.76	0	3550.37	3897.51	9781.47	4570.92	22410	38131.93	3470.93	13228.51	5063.14
C13-label-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2942.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-8	2638.05	0	0	0	0	4993.82	0	0	0	3540.83	0	0	3763.92	3144.72	4270.2	3959.66	4253.7	7820.96	0	11810.74	0	3551.42	4488.03	0	4040.05	4192.96	4317.67	7762.29	9845.91	3861.54	9296.12	33653.41	8331.19	5788.12	3452.91
C13-label-9	58090.47	39619.59	22085.61	35572.79	33004.3	43825.92	56912.99	60932.41	69689.72	59854.39	47773.02	44923.36	40888.54	46822.14	69681.59	60112.11	62054.86	67134.89	75253.22	70111.66	78819.7	69028.34	70239.21	51241.61	68805.34	80414.62	43421.73	88296.74	94931.57	75785.05	94299.51	299531.22	75806	97178.75	88159.02
C13-label-10	130987.65	54406.39	72075.89	90770.98	79990.55	119265.81	99673.46	114925.84	107231.48	121086	92681.59	124633.29	124867.46	125492.91	129128.74	130486.76	145752.14	151390.27	149449	141023.14	180308.64	180344.17	145129.06	139227.42	150451.88	190974.7	141919.39	185267.17	217383.58	174871.45	211321.06	697264.44	168968.08	190712.59	173758.94
																																			
Arginine	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1372.25	3084.21	221286.83	237978.05	83698.16	150423.45	154693.61	125682.76	197326.58	14296.6	7545.56	106361.76	109708.5	128597	299602.59	201562.44	131138.53	204952.36	11037.82	0	94194.19	177854.64	98269.95	169915.08	343851.31	199267.83	143842.84	5987.57	40004.16	20426.03	9807.33	12760.05	6379.94	10572.59	49813.59
C13-label-6	23300.24	6020.44	23505.52	25124.77	11116.96	17131.11	16247.84	17838.59	21496.41	7617.16	39634.01	32570.38	23713.9	48703.57	35956.27	14969.57	26747.07	15306.5	8231.4	18345.55	23278.09	21344.68	28424.91	9116.84	31602.06	8215.19	46859.67	10573.91	11267.41	37927.56	14881.96	8273.99	21116.53	18046.71	23743.1
																																			
Asparagine	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1089266.62	943161	1160000.12	1417424.62	477525.38	570113	1012322	1467911.62	2558071.75	780922.94	914058.31	672721.44	988773.44	998190.31	1538563.88	1456687.88	845386.94	5698558.5	828743.81	968427	1291119.12	1661803	1186172.5	1608928	1534989	1317795.75	2933345	2058771.5	1965522.12	2169581.25	3479113.75	2126138.5	1662460.12	3291548.75	3204085.75
C13-label-1	223109.2	267385.91	242059.2	200303.8	239623.38	110910.27	196603.33	301085.09	329802.78	291538.78	256131.19	118657.75	139448.17	257414.62	261363.14	364240.78	209703.5	379506.09	225952.44	377186.66	327695.97	258101.55	426435.91	372718.91	263831.06	220005.25	383358.62	234362.48	149988.55	176978.88	209505.61	411117.03	183352.08	216196	248588.25
C13-label-2	1566509.5	1698887.62	1716450.38	1554383	1280127.25	1431680.88	1547604.12	2147502.75	2134292	1771396.5	1483362.5	1034379.69	1012305.69	1252091.88	1964825	1961510.12	1705464	1926458.12	742818.81	1850101.12	1868404.5	1862516.62	1916196	1994487	1750156.38	1385461.62	1778976	1369998.75	1167127.75	1121463.38	1695030.5	2123999	1284773.88	1411811	1706313.38
C13-label-3	688864.56	506197.78	730218.31	554666	445499.66	479088.53	614184.44	751103.5	721437.25	622814.06	474381	390608.78	635588.31	413973.12	797535.56	549211.56	570821.81	702407	444754.16	739431.69	698990.44	574271.31	824583.19	682641.56	622951.19	390637.09	699956.06	692072.75	611840.75	628672.19	562150.69	572719.44	633422.62	625940.81	471284.5
C13-label-4	2662511.25	2984661.75	2748692.25	3165816	1480837.12	2470879.75	3279621.25	3774823	3388081	3334753.25	2829039	2033376	3118247.25	2924242	3873893.75	4119757	2770005.25	3413973.25	2285294.25	3731571.25	3399590	3544667	3989311.75	3437388.75	3526340.75	1515899.5	3798470.25	4288145.5	2531508.25	2789642.25	3553612	2859518.25	1980857.88	3753926	2225500.5
																																			
Aspartic acid	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	8379566	9558656	14980780	11005571	8544728	6638496	5604372	7921102.5	11448531	4181291.75	11861160	8267976	7494671.5	5631956.5	9944367	9853720	10478114	15190857	5560794	8463805	9756721	7932719.5	10414953	10931064	8845823	10091661	12368777	4519109.5	7212136	7258681.5	12765851	9353823	7060562	9553441	9102698
C13-label-1	327198.03	396321.59	640451.38	455123.59	385933.09	289100.31	228741.94	337202.97	516362.5	169111.77	524082.53	374854.66	339210.41	254621.12	437054.47	452985.03	450058.16	657572.81	246175.95	385461.75	437509.75	343585.34	507213.97	487818.25	335699.5	414876.34	550000.19	168355.08	271437.22	273338.03	577848.31	367931.62	290985	406086.66	0
C13-label-2	0	68778.05	58326	0	77405.52	59580.91	49017.22	0	58036.7	0	42837.77	54435.33	34716.16	39173.41	78864.18	67504.11	0	71339.55	0	53673.78	54846.16	0	0	0	68314.56	46263.96	66893.82	44308.6	47535.06	46863.39	58422.94	98884.73	50139.88	63357.38	60844.71
C13-label-3	715434.5	687071.81	735052.31	749653.81	636628.75	483997.5	528032.19	808154.69	777026.19	488870.16	690455.56	448816.38	526878.06	474070.97	862470.5	818544	791059.5	839972.25	430110.84	575035.5	560997.94	537304.69	810260	845859.69	0	729934.94	759576	434998.78	634316.81	586036.56	774076.25	802423.31	524308.31	594451.56	591665.69
C13-label-4	3886009	3749445.25	4016094.75	3842196	3490610.25	2917130	2863680.75	4461392	4255598	2650025.75	4153633	2438858.25	2952416.75	2599493	4230147.5	4772834	4753011.5	4807044.5	2343805	3384862.75	2982887.75	3182963.75	4394539.5	4899355	3259618	4267932	4247954	2650988	3465982.25	2972129.75	4042209.25	4504172	2956266.25	2812223.25	2702397.75
																																			
ATP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	10468741	4970162.5	12372472	17975704	9889877	11723607	10959042	11508840	10945878	8852143	8004482.5	10209119	10987957	7690048.5	10400693	14236939	18164056	18445346	19233650	8182822.5	12604037	17695724	9300553	6767582.5	14400781	12032643	8664091	11192048	27866184	26898006	45173468	36191900	15146989	49735280	20701266
C13-label-1	1155919.12	580756.81	1402668	2081758	1159462.12	1356117	1250906.25	1309571.5	1328621.62	935926.56	900372.19	1179765.38	1498523.38	920738.06	1189970.62	1863509	2157664.25	2106244.5	2349304.75	959276.69	1482884.5	2167549.25	1119691.25	810269.69	1653313	1450574.38	1004390.81	1359604.25	3207594.75	3099428.25	5290651	3750916.75	1772244	5965596	2153643.75
C13-label-2	355706.59	178027.98	397291.84	515934.03	351867.97	335234	305225.97	288010.66	365281.22	293467.5	258589.8	285078.06	408942.91	257718.33	297815.91	464745.16	571599.56	551703.38	602441.06	268609.62	420910.16	607468.19	251862.55	229097.05	470354.09	398082.47	266133.38	354332.47	822716.06	803669.06	1495513.62	1135398.75	525224.81	1706330.38	616319.94
C13-label-3	18956.67	5946.55	44288.99	46645.46	17679.7	9652.19	10993.59	23083.35	25543.14	11470.08	8339.86	9565.71	23749.33	8732.94	26541.52	46089.45	55998.38	33817.55	26689.15	9942.87	21490.53	97680.65	28514.97	8079.39	25642.02	32960.35	19535.84	19455.56	103701.9	116684.04	175779.86	120697.21	22764.9	161245.81	64884.48
C13-label-4	0	0	0	6758.11	0	0	5772.73	0	0	0	0	7435.3	0	0	0	0	0	0	8234.65	0	7694.61	0	8027.8	0	0	11196.73	6010.54	8833.99	5821.27	11740.42	10148.25	12536.79	0	19059.15	10082.86
C13-label-5	9630.92	7936.65	10933.25	10157.9	10174.88	12228.9	19565.41	9894.76	11024.09	6887.48	16208.59	34835.36	22784.93	7632.3	30430.13	10236.26	21957.51	26785.42	25486.58	37670.16	20778.09	27044.99	18999.63	17745.76	18312.05	17560.17	10664.87	26986.04	15646.46	18063.59	26392.49	33001.66	12678.2	26295.19	13303.83
C13-label-6	18958.35	5807.86	7314.25	10438.97	21165.58	10994.84	31214.98	24616.92	20263.48	7766.38	13110.02	8481.8	21407.31	27571.74	18555.37	12579.15	30823.01	31907.75	36174.15	34841.82	16553.81	35531.33	35011.88	26402.51	17303.55	32335.65	11978.76	22389.42	24286.76	24769.22	13694.54	31116.16	21180.25	25210.63	13275.37
C13-label-7	145340.83	43538.14	93051.91	116247.71	112634.4	139740.36	138979.55	134301.89	158501.06	144284.23	116453.05	133137.14	130679.38	121554.7	165060.14	115770.43	148400.83	116177.09	147944.61	150974.12	145756.55	182216.2	129850.82	111254.71	130030.16	148037.06	143528.94	130511.03	167965.88	128869.63	157918.2	138870.42	177361.67	172485.81	165515.23
C13-label-8	934621.94	483523.22	744799	831918.5	676472.75	925192.06	851611.56	889662.31	908504.31	821780.94	755333.25	872005.75	1039111.06	907721.31	977487.44	1028991.75	1164274.38	1016747.81	1031049.5	1003166.5	1037577.5	1179349.62	1018278	856118.81	1065649.88	1074032	960534.69	1140429.5	1186631.5	912310.25	1113362.62	928611	1136145	1125255	1150140
C13-label-9	7151241.5	3618476	5507360	6414265.5	4798358	6669574.5	6581902.5	7309530	7452410	6915772	6199240	6628640	7411860.5	6636834	7790380	7353057.5	8377548.5	8253801.5	7848991.5	7709659.5	7659810.5	8492364	7815687.5	6118285.5	7462367.5	7781272	7465132	8572991	8847927	6758230.5	8293616	7264956	8584701	8565175	9331461
C13-label-10	17295134	8508924	13316469	14667837	11595331	15962411	15894468	17521608	17667052	16262839	15542749	16395112	17668876	16087364	18317204	17617782	19272650	19412162	19060176	18526992	18324522	20518402	18910522	14751880	18640944	19034128	17677202	20424834	20962174	16266059	19464978	17736168	20539640	20303614	23050210
																																			
Bisphospho-glycerate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	82181.48	428765.25	1661578	1741580.62	1603816.88	1979249.5	2046151.62	2500634	1616491.12	552773.44	1186210.25	2125343.25	2291491.75	2669446	2515852.25	3088583.25	3637641.25	2915265	474661.34	839142.69	2321424.25	1241355.5	1889360	1716329.12	3288509.75	2910663.75	1517523	876802.25	1712561	1679478	834577.19	247742.08	1498383.62	1507355.5	594159.75
C13-label-1	0	3216.6	72787.32	66144.59	56675	56889.16	61959.91	83559.9	57254.35	10146.77	22495.2	85501.23	79930.05	102443.51	79285.84	104659.35	144634.47	101124.29	10643.14	17189.97	74099.48	50587.75	64855.07	63303.86	108414.48	110403.43	59682.79	32562.94	84076	57159.81	28953.6	0	50563.6	54208.94	15264.7
C13-label-2	0	0	19550.25	24651.26	22368.59	28720.9	49046.12	32342.4	35329.01	6878.63	10642.72	35697.46	38236.59	44419.17	45080.95	78873.09	66589.59	55872.47	9953.42	6042.04	32500.53	23914.77	38298.27	37233.41	70645.53	59025.25	38737.12	6705.5	24091.29	36933.14	11364.12	0	27159.62	38068.57	4710.3
C13-label-3	23388.64	123038.38	162480.77	216388.45	171755.22	228069.33	196081.48	222730.39	243107.23	189698.08	182133.08	260636.64	284528.31	274591.47	254036.3	265168.66	276238.78	285365.31	204294.06	256936.25	311480.66	277724.16	304146.28	242408.7	320593.5	323324.06	264666.56	285626.25	344889.59	288829.56	241026.77	90326.6	280292.41	319773.34	198601.17
																																			
CDP-MEP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	115430.74	35345.23	214046.94	397248.62	310301.19	280783.84	91746.96	176893.61	64930.57	96964.41	55549.6	149607.69	242176.5	255175.11	209080.3	167213.11	211051.39	161462.75	100847.07	58470.91	209047.75	280064.09	305714.5	117463.53	114337.21	131947.34	93631.79	51662.64	219902.14	177704.62	133676.5	141779.58	89405.75	175609.23	12790.29
C13-label-1	7155.9	5320.12	23931.41	50506.82	56724.62	61230.09	8439.73	10408.21	0	6031.35	0	20687.56	44675.19	25788.02	8542.43	0	14436.36	20918.12	10079.31	0	18002.48	0	21913.26	6884.52	7840.65	10787.72	0	0	43347.97	0	11721.29	0	0	12199.96	0
C13-label-2	0	0	0	8351.01	0	0	0	0	0	0	0	0	9279.99	0	7613.44	0	0	7914.54	0	0	0	6416.79	0	6489.92	0	0	0	0	0	0	0	0	0	0	0
C13-label-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8851.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-13	4776.69	5984.47	6149.62	5769.73	8292.67	7433.38	0	7642.27	8060.37	8146.14	0	0	10799.3	7705.99	8849.75	6963.76	7929.76	10292.68	0	7892.33	6700.15	7686.96	10051.25	14436.77	9973.93	9795.84	7205.6	9556.96	7335.63	0	0	0	0	9586.37	0
C13-label-14	48111.77	8978.65	31166.19	36196.36	38551.84	50417.17	33665.02	45967.51	25177.6	32615.78	34302	27084.7	45356.96	43592.61	53377.71	43322.38	12827.67	56314.04	37630.67	45271.52	33472.62	19802.19	52209.84	30250.16	50912.23	67049.41	48228.96	36101.02	46700.96	29631.95	12546.31	26893.47	43165.26	56896.11	47232.66
																																			
