C13-label-4	0	0	1942.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2308.22	0	0	0	0	0	0	0	0	0	0
C13-label-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1918.97	0	0	0	0	0	0	0	1474.29	0	0	0	0	0	0	0	0	1741.78	0	0	0	0	0
C13-label-6	5013.25	0	2588.15	3012.19	2364.83	2929.58	5725.8	2790.99	2460.08	6647.9	2569.3	2989.62	0	3951.79	3225.56	0	2780.23	2197.02	4386.14	2101.22	0	8769.84	4832.81	5425.68	4909.92	4094.09	2678.93	4048.61	8032.63	2355.05	3620.27	5812	2441.97	4216.73	9776.84	4172.8	3251.88
C13-label-7	87892.04	80860.75	104662.34	88242.66	95396.13	91018.57	88023.63	110019.16	97527.72	106747.55	84796.13	91368.8	113208.69	81441.69	95596.6	111146.59	99332.26	97570.78	89190.73	99806.52	78759.41	102776.88	102665.74	100346.85	113080.88	110470.16	96266.28	92299.16	119472.54	62492.31	99127.97	126448.98	87146.04	87864.18	118731.88	88546.04	96889.45
																																					
3-Phospho-Glycerate	O2_0_A	O2_5_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	O2_0_D	O2_5_D	O2_15_D	O2_30_D	O2_45_D	O2_60_D	O2_120_D	An_0_A	An_60_A	An_120_A	An_0_B	An_60_B	An_120_B	An_0_C	An_60_C	An_120_C
C12 PARENT	2209483.75	3577024.25	4593487.5	4972960	6301788.5	6156842	8216311.5	3076471.75	5264717.5	4197013	5876899.5	7522862.5	6002401.5	7595303.5	3773640	6218607.5	5656318.5	6142821.5	7615387.5	7969370.5	9421052	3544531.75	5235374.5	8251473.5	6501328	6653982.5	7036751.5	12630656	3187382	5365411.5	9552928	3119111.25	5062730	7625830.5	3161440.25	7624844	10820008
C13-label-1	74321.84	103658.35	144439.06	139388.3	205266.52	193296.23	292338.84	101575.48	171072.33	143072.2	188904.61	210638.48	205683.92	259987.33	106464.65	194507.62	198878.83	228629.23	267333.62	236282.06	330268.59	107577.35	166906.06	237983.12	211764.69	227194.8	208398.14	412210.72	107114.62	173454.14	328468.22	97219.79	155565.45	250641.42	111557.78	249039.06	371877
C13-label-2	14406.08	11472.12	7720.33	15456.21	15894.05	14815.31	21717.19	35108.66	0	14977.05	14546.82	0	6675.54	12107.27	14129.97	26942.3	38453.87	19331.85	25674.02	17508.59	29158.71	28352.08	41488.36	32700.53	23270.88	40937.57	21483.23	12750.5	40649.09	33313.67	15011.26	41469.9	47435	16863.49	28218.23	24828.9	21355.96
C13-label-3	1171825.5	1402937.38	1522941.88	1691022.62	1792964.62	1799289.62	1965086	1704223.88	1831719.62	1724477.12	1936051.62	2247051.25	1920007.12	2117608.5	1863938.12	2174043.25	2033168.62	2151347.75	2198336	2166452.25	2376708	1703936.62	2137788.75	2294887	2139753.75	2260049.75	2205634.75	2610594.75	1802206	2057301.62	2410039.5	1918139.38	2194047.25	2244236.25	1851332.12	2214682.75	2153951
																																					
6-phosphogluconate	O2_0_A	O2_5_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	O2_0_D	O2_5_D	O2_15_D	O2_30_D	O2_45_D	O2_60_D	O2_120_D	An_0_A	An_60_A	An_120_A	An_0_B	An_60_B	An_120_B	An_0_C	An_60_C	An_120_C
C12 PARENT	2433895.5	3115932.25	4745779.5	4223742.5	5507125	5707954	7678230	4463998	3607330.25	4154212.75	5626182.5	4855280.5	5006969	7203676	3714502.75	3985028.25	5124539	5217221.5	5640329.5	6138297.5	9480452	5535300	6063602.5	6166883.5	5909977.5	6161761.5	5822316	9268345	4003112	5091520	7193486.5	3642539.75	5629141.5	7196156	4271020	7599194.5	6437822.5
C13-label-1	165767.02	220461.8	330431.88	296542.41	348202.22	376745.59	492727.28	290307.91	229088.88	279227.47	371549.12	328624.47	333005.66	481298.16	232784.64	272932.81	346409.56	336140.84	369429.78	389332.09	629887	317792.69	410471.47	386192.84	349635.53	390991.25	365765	620926.44	257940.67	350459.88	465791.62	285045.03	362407.28	474008	274504.66	520996	397855.84
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3882.62	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-4	7410.63	4610.15	10898.75	0	0	0	9405	6382.25	0	0	11580.91	11784.83	6728.45	14966.12	7872.48	15020.28	6660.61	7524.33	11574.28	7092.4	6807.01	11919.44	6131.46	12016.1	11224.36	11269.42	11020.34	6169.55	17638.37	0	25244.52	10901.14	0	7826.92	10539.29	6862.62	5166.06
C13-label-5	263018.25	269586.94	274364.22	281160.12	302426	346655.25	347248.34	324244.22	321931.75	305108.06	275152.28	322816.16	330457.84	326421.75	280264.75	291602.66	369628.25	346400.44	304352.25	332695.78	343069	320508.59	328846.94	344437.62	326137.28	327604.81	319520.69	330045.16	395038.53	341554.53	382724.62	325461.12	330398.88	374249.91	359780.16	333235.59	335568.03
C13-label-6	1362199	1559886	1625002	1659101.38	1743919.12	1684202.62	1789391.62	1683783.62	1678912.62	1614398.62	1723671.88	1800486	1776572	1772684.12	1728308.38	1791022	1771609	1842690.38	1813680.5	1877683.38	1952837.38	1709576.62	1818418.62	1864330.5	1935577.62	1821523.38	1889726.12	1938817.62	1964910.62	1977459.88	2028218.5	1826319.38	1883557.88	2051030.62	1927757.88	1949482.62	1773653.62
																																					
Acetyl Coenzyme A	O2_0_A	O2_5_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	O2_0_D	O2_5_D	O2_15_D	O2_30_D	O2_45_D	O2_60_D	O2_120_D	An_0_A	An_60_A	An_120_A	An_0_B	An_60_B	An_120_B	An_0_C	An_60_C	An_120_C
