cMEPP	controlA_0	controlA_30	controlA_60	controlA_120	controlB_0	controlB_30	controlB_60	controlB_120	Cd2+A_0	Cd2+A_5	Cd2+A_15	Cd2+A_30	Cd2+A_60	Cd2+A_120	Cd2+B_0	Cd2+B_5	Cd2+B_15	Cd2+B_30	Cd2+B_60	Cd2+B_120
C12 PARENT	666800.31	1101848.38	930576.69	1924653	683402.75	836460.19	1027734.81	1959330.38	819349.69	1803012.62	6937923.5	24102282	92020024	268625792	748553.19	1023467.69	6675392.5	34936060	108771432	266462080
C13-label-1	36272.89	64461.39	49116.49	108698.91	43567.92	42149.62	51451.27	99721.34	41132.69	100688.1	380896.16	1380915.88	5332180	16159949	42745.55	62114.72	375748.09	1981854.12	6357702	16060180
C13-label-2	7519.42	8839.3	10797.49	42932.91	7165.62	14017.83	17370.53	37457.43	17936.71	27356.69	130252.34	436015.12	1651404	4931382.5	10287.23	9812.02	123382.68	609814.44	1928631.38	4741265.5
C13-label-3	0	0	0	0	0	0	0	0	0	0	3342.49	29210.16	100721.8	293777.41	0	0	2546.17	26594.23	139695.75	273735.34
C13-label-4	16537.97	18599.67	17032.5	19688.85	23676.09	21974.52	18421.08	19147.7	14200.24	23769.19	17789.34	18515.51	34285.09	26597.21	11382.88	14509.02	20845.8	26244.79	49804.94	14411.87
C13-label-5	384942.84	382399.41	363999.84	421189.34	382722.97	376593.09	391780.03	392553.25	346663.97	419522.16	376522.91	425838.38	759091.5	883401.31	327670.69	319524.94	372341.84	499850.47	803140.19	808906.5
																				
IPP	controlA_0	controlA_30	controlA_60	controlA_120	controlB_0	controlB_30	controlB_60	controlB_120	Cd2+A_0	Cd2+A_5	Cd2+A_15	Cd2+A_30	Cd2+A_60	Cd2+A_120	Cd2+B_0	Cd2+B_5	Cd2+B_15	Cd2+B_30	Cd2+B_60	Cd2+B_120
C12 PARENT	90879.96	145103.61	122395.48	211342.08	116526.9	139320.11	159289.19	214742.31	121414.4	106747.77	67567.71	41575.71	39418.43	45726.93	129187.05	73375.91	57547.5	53508.64	37164.1	38041.23
																				
Gluconate	controlA_0	controlA_30	controlA_60	controlA_120	controlB_0	controlB_30	controlB_60	controlB_120	Cd2+A_0	Cd2+A_5	Cd2+A_15	Cd2+A_30	Cd2+A_60	Cd2+A_120	Cd2+B_0	Cd2+B_5	Cd2+B_15	Cd2+B_30	Cd2+B_60	Cd2+B_120
C12 PARENT	381428.28	550985.44	538965.38	859287.94	432519.75	552456.25	563025.19	817683.81	459136.25	656955.19	489725.09	454330.75	474726.25	642642.06	482450.09	374569.16	484013.28	514721.09	471469.88	589499.06
C13-label-1	0	30222.29	0	0	0	31448.87	0	52059.45	0	0	0	21429.74	0	0	0	0	0	0	0	0
C13-label-5	60392.28	44270.71	121423.82	26790.65	36215.1	114953.02	0	101989.22	0	64489.32	42826.8	32163.43	0	21333.99	0	53701.89	79070.06	30388.62	0	45615.34
C13-label-6	1463929	1449644	1403001.88	1350517	1691064.88	1698326	1446762.88	1330683.62	1529898.38	1706164	1475767.38	1708160.38	1778601.12	1605751.88	1573674	1610177.62	1495252.5	1564768.38	1556267.5	1673406
