2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
3-Phospho-Glycerate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	859692.5	4003658	3459116	3870888.75	4953941.5	6801920	8922411	2328813	4029288	9036599	5045000	6831356	5876109.5	7590858.5	8689463	11045463	2105262.75	8364666.5	5137104	7065570	7576826.5	7316465.5	12737043	12613765	5367930.5	7218346	8715967	20123422	5107081.5	7688424.5	10409934	10515993
C13-label-1	23488.61	127605.27	122595.23	136763.42	143184.05	236432.11	323439.22	85393.88	163919.77	271976.78	190298.44	204297.39	148818.25	244019.67	296141.81	377404.28	47632.7	280903.94	163355.14	235472.88	254956.3	236209.19	433663.09	450651.75	169735.8	248405.38	344578.91	694591.75	168627.73	238384.86	414146.84	358874.34
C13-label-2	9345.38	31633.91	23962.18	0	20325.69	0	34090.28	26101.19	23322.2	10589.03	41370.52	25104.24	27350.17	30028.37	26182.7	49085.05	49517.89	46561.22	66489.06	28214.67	41710.73	52925.01	0	41575.76	37147.13	25291.92	64826.37	11630.25	42888.46	39316.74	25599.45	37944.87
C13-label-3	743239.94	1526793.88	1608260.88	1980837	2102172.75	2480596	2528765	1885774.5	2153396	2533361.75	2232581.25	2572411.25	2483631.25	2557088.25	2672126.75	2841343.25	2198219.25	2790277	2634127.75	2904152.75	2714920.75	2814802.75	3100761	3080426.25	2693186.75	2756054.75	3164943.75	3883796.75	2864056	3049082	3351000	3146519.25
																																
6-phosphogluconate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	341679.72	867540.44	1038754.56	1539019.88	1701298.88	2549869.75	3818907.25	897719.06	2297493.75	2735262.75	1891175.38	2343565.5	2072679.38	2528152.25	2957606	4891437.5	1270612.38	2217858.75	1507496.38	2427602.5	2521106.75	2476813.75	3590635.25	4715567.5	2076072.62	3016269	5106108	11694433	2576569.25	3246197.25	5334271.5	3711266.25
C13-label-1	15185.02	39152.24	64580.42	95842.8	109862.79	163094.5	262530.22	71075.23	143655.73	166307.44	118184.97	157007.75	115051.27	174155.78	180395.98	314952.38	81596.44	144902.11	78617.8	169874.48	168392.08	185047.02	231369.61	328629.31	162079.95	192503.11	328830.41	808299.19	202460.95	223347.58	380344.03	251988.14
C13-label-2	0	6876.74	7997.06	8924.16	16734.99	56278.92	29275.02	7352.43	20322.54	46437.9	9496.87	50969.68	8977.03	11594.92	26385.08	92153.26	5529.8	18910.27	14323.13	30893.34	39685.32	55041.84	59456.99	56569.06	9195.8	12339.36	59155.9	142190.7	26796.53	53021.08	115010.56	26238.63
C13-label-3	0	0	0	0	0	0	0	0	0	5455.06	0	0	0	0	5114.91	0	0	0	0	0	0	0	0	0	0	0	7669.61	8823.88	0	0	6923.11	0
C13-label-4	0	0	0	0	0	5436.37	0	0	0	9286.65	0	0	0	0	0	0	0	0	0	0	0	0	5531.13	0	0	0	0	0	0	0	0	0
C13-label-5	73547.23	94598.31	106834.24	127977.3	123797.54	144753.62	149550.27	133349.55	154111.16	151011.94	138934.41	167159.61	148914.33	161062.05	145782.3	192980.45	158029.95	166298.86	135089.06	150756.98	136515.36	177827.7	170385.62	208693.36	165592.5	199687.92	203872.8	226072.62	218224.33	175831.19	238551.19	216241.11
C13-label-6	308472.59	486783.78	539315.44	654383.44	657830.44	811927.19	768957.06	636594.69	836581.56	808254	641418.88	848691.19	826069.81	835010.31	869315.75	918757.44	854612.31	1008356.19	830615.81	904360.5	901289.19	916789.06	1006993.56	1086794.5	997821.81	1082629.25	1113653.25	1387634.12	1110412.5	1197988.88	1222672.25	1104704.5
																																
