2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C13-label-4	0	0	0	0	0	0	0	0	0	0	1845.97	0	0	3704.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-5	2020.68	2424.34	0	1756.21	0	0	1917.08	0	0	0	0	0	2621.22	0	0	0	4248.51	1691.07	0	1722.07	1881.43	0	2284.43	2406.57	2091.63	0	0	0	2059.68
C13-label-6	27854.28	30400.62	26234.75	29664.3	31745.15	28431.69	22286.9	26186.25	33227.07	35140.9	37546.97	31555	34478.04	28859.95	33202	0	0	40558.35	31306.62	36635.41	30040.88	40910.14	38958.5	32536.88	37037.11	42735.87	32531.34	35512.79	33301.61
C13-label-7	347731.28	408561.75	391119.84	426291.16	387414.34	415238.84	374433.09	439815.41	426960.84	488904.41	431710.75	502257.28	444822.38	417182.25	455450.91	465415.53	430814.34	495426.03	507103.16	471878.97	452479.16	449507.25	480089.09	476351.16	482664.09	545632.94	535902.94	455256.25	479386.38
																													
3-Phospho-Glycerate	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	15475851	22243774	21928682	23327494	28851216	29366378	46023956	16429683	24330074	23638314	25569410	24301594	36603644	41347816	16787362	25514054	26658258	25324186	25303350	33763016	49496672	31515842	29006896	40494384	65183312	28684542	35033340	42224196	50214636
C13-label-1	444078.09	729946	735007.19	777358.31	959695.25	929118.56	1577380	576020.56	800159.81	859938.44	855228.25	840556.69	1218050.5	1443406.5	591676.94	752736.56	864243	815639.81	858533.06	1175917.75	1450130.62	999222.06	1004735.44	1332566.62	2301431	895949.19	1169277.12	1522672.88	1634887.62
C13-label-2	134137.64	298269	272927.91	236073.95	334685.16	375523.78	532600.5	176356.98	210537.38	270371.72	343299.91	261863.64	371484.62	533141.56	179006.44	302015.84	260336.45	218541.06	334441.25	361909.47	384222.5	360673.22	309829.66	416183.75	788010.5	283867.59	385775.53	471210.25	588892.69
C13-label-3	5396572	5951022.5	6088808.5	6351974.5	6521423.5	6693396	7602418.5	6543551.5	6783538	7183868	6732186	7266094.5	7812551.5	7446038.5	6943446.5	7910220	7868973.5	7555016	7815216	8312678	8597580	7595181.5	7469245.5	8207877.5	8499431	8219358.5	7793764	8237097.5	8035545.5
																													
